Titulo;Alícia;Matheus;Taylla;Média;Data;Poster;Genero;Comentario
O Agente Secreto;9.75;8.0;8.87;8.87;05/02/2026;https://image.tmdb.org/t/p/w500/t1DQ4XXIqTm5LvUjz8jypN43JjZ.jpg;[80, 18, 53];
ジョジョの奇妙な冒険 ファントム ブラッド;9.0;10.0;6.0;8.33;05/02/2026;https://image.tmdb.org/t/p/w500/k9568nNUbo7z81j2eYuHp0vkEy6.jpg;[28, 16, 12];
Em Busca do Vale Encantado;7.5;6.9;10.0;8.13;05/02/2026;https://image.tmdb.org/t/p/w500/o8oBw8UCxsYVjj0pul0j1GGNJbk.jpg;[16, 12, 10751];
Fullmetal Alchemist: Brotherhood - OVA Collection;10.0;9.5;;9.75;03/02/2026;https://image.tmdb.org/t/p/w500/E30Nc9LgoGJyN9q7qI7scJUKCd.jpg;[];
Capitão América: O Primeiro Vingador;6.5;7.5;;7.0;03/02/2026;https://image.tmdb.org/t/p/w500/19wxfSXHhuJBRbbfUweCsfXFhpv.jpg;[28, 12, 878];
A Lenda de Aang: O Último Mestre do Ar;10.0;10.0;8.0;9.33;06/02/2026;https://image.tmdb.org/t/p/w500/bL0kpH1mL82VpZkpkAVn7X1age7.jpg;[28, 12, 16, 14, 10751];Muito bom todos adoraram
Pecadores;4.0;6.0;;5.0;11/02/2026;https://image.tmdb.org/t/p/w500/v0Ljeti537c6cNKweuEN0iaU3x4.jpg;[27, 28, 53];
Balto;6.5;6.9;7.0;6.8;12/02/2026;https://image.tmdb.org/t/p/w500/vytLPTTIc82m9KAcuqk8svwqdoL.jpg;[10751, 16, 12];#JustiçaporTogo
Wolfwalkers;7.0;9.0;9.0;8.33;12/02/2026;https://image.tmdb.org/t/p/w500/gCa0yDjBb6zHgy2dhbud9mfsTLK.jpg;[16, 10751, 12, 14];
O Cão e a Raposa;10.0;8.75;10.0;9.58;12/02/2026;https://image.tmdb.org/t/p/w500/efIxA3aIzYaKamMUbIC4I8hJTAL.jpg;[12, 16, 18, 10751];
Ilha dos Cachorros;10.0;9.75;10.0;9.92;12/02/2026;https://image.tmdb.org/t/p/w500/4k4sjRXGMTfIDkfVi7lHccatnWk.jpg;[12, 35, 16];
Planeta do Tesouro;8.0;10.0;8.0;8.67;12/02/2026;https://image.tmdb.org/t/p/w500/4GJnKM1CLylmp8phkyiITiwu7L.jpg;[878, 12, 16, 10751, 14];Matheus - Muito bom, é o meu favorito.
Aristogatas;8.0;7.8;10.0;8.6;13/02/2026;https://image.tmdb.org/t/p/w500/A2tgpsGTa28TAosyngMprBnXyG9.jpg;[16, 35, 10751, 12];
O Rei Leão;10.0;10.0;10.0;10.0;13/02/2026;https://image.tmdb.org/t/p/w500/8aIvm8OaJISOpVTt7rMIh7X35G5.jpg;[10751, 16, 18, 12];
Toy Story 3;10.0;10.0;;10.0;13/02/2026;https://image.tmdb.org/t/p/w500/rf67AeS9nP8DD7dZYbvhjEVoIBf.jpg;[16, 10751, 35];
O Fantástico Sr. Raposo;10.0;8.0;10.0;9.33;16/02/2026;https://image.tmdb.org/t/p/w500/1Ey4LYUzTqzizPNjcBi20pU9joC.jpg;[12, 16, 35, 10751];
Kubo e as Cordas Mágicas;9.5;8.75;10.0;9.42;27/02/2026;https://image.tmdb.org/t/p/w500/ict1oX2qqv59k2NKnlAX4rXdGeg.jpg;[16, 12, 10751];
